,season,event,team,player,games_played,wins,loses,win_rate,kills,deaths,assists,kill_death_assist_ratio,creep_score,cs/min,gold,gold/min,kill_participation,kill_share,gold_share
703,8,Main,MAD_Team,Kongyue,4,0,4,0.0,1.25,3.25,3.5,1.46,163.75,4.51,9.9,272.0,86.4,22.7,17.9
704,8,Main,MAD_Team,Benny,2,0,2,0.0,1.5,3.0,1.5,1.0,136.5,4.69,8.3,284.0,60.0,30.0,18.1
705,8,Main,Phong_V_c5-_a9-_Buffalo,BigKoro,6,2,4,33.3,3.33,2.67,3.0,2.38,346.67,9.85,15.1,430.0,67.9,35.7,24.4
706,8,Main,Phong_V_c5-_a9-_Buffalo,Naul,6,2,4,33.3,2.33,2.33,3.5,2.5,296.17,8.41,12.9,367.0,62.5,25.0,20.9
707,8,Main,Phong_V_c5-_a9-_Buffalo,Palette,6,2,4,33.3,0.33,3.83,6.33,1.74,48.67,1.38,8.3,237.0,71.4,3.6,13.4
708,8,Main,Phong_V_c5-_a9-_Buffalo,Zeros,6,2,4,33.3,1.83,4.33,4.17,1.38,332.17,9.44,14.1,400.0,64.3,19.6,22.7
709,8,Main,Phong_V_c5-_a9-_Buffalo,Meliodas,5,1,4,20.0,0.8,1.8,4.0,2.67,179.0,5.29,10.4,307.0,72.7,12.1,18.2
710,8,Main,Phong_V_c5-_a9-_Buffalo,XuHao,1,1,0,100.0,5.0,6.0,14.0,3.17,264.0,6.29,16.9,404.0,82.6,21.7,19.7
711,8,Main,Royal_Never_Give_Up,Letme,12,7,5,58.3,1.33,1.92,4.25,2.91,245.92,7.87,10.8,346.0,55.4,13.2,19.9
712,8,Main,Royal_Never_Give_Up,Ming,12,7,5,58.3,0.58,2.42,6.5,2.93,27.92,0.89,7.2,231.0,70.2,5.8,13.3
